contract,option_type,strike,expiry,date,open,high,low,market_price,volume,vwap,transactions,underlying_price,T,moneyness,log_moneyness,lower_bound,upper_bound,violates_bounds,IV
O:AAPL260821P00270000,put,270.0,2026-08-21,2026-05-26,3.0,3.2,2.73,3.12,762,2.9124,419,308.3299865722656,0.23819301848049282,0.8756851806780657,-0.13274863542681223,0.0,267.43973152977185,False,0.2831664310443951
O:AAPL260821P00270000,put,270.0,2026-08-21,2026-05-27,3.17,3.17,2.84,2.95,617,2.9253,543,310.8500061035156,0.23545516769336072,0.8685861177370792,-0.140888541351894,0.0,267.4690215367551,False,0.2896991416340768
O:AAPL260821P00270000,put,270.0,2026-08-21,2026-05-28,2.93,2.95,2.72,2.81,628,2.8558,477,312.510009765625,0.2327173169062286,0.8639723258864365,-0.14621454091509187,0.0,267.4983147515808,False,0.29339536700561253
O:AAPL260821P00270000,put,270.0,2026-08-21,2026-05-29,2.6,2.79,2.6,2.76,463,2.7014,280,312.05999755859375,0.2299794661190965,0.865218234033036,-0.14477351019114576,0.0,267.52761117460017,False,0.2915224638412121
O:AAPL260821P00270000,put,270.0,2026-08-21,2026-06-01,2.9,3.29,2.81,3.25,148,3.1768,31,306.30999755859375,0.22176591375770022,0.8814599658907704,-0.12617569406803467,0.0,267.61551969633445,False,0.28779103039381565
O:AAPL260821P00270000,put,270.0,2026-08-21,2026-06-02,3.0,3.0,2.52,2.58,136,2.7445,36,315.20001220703125,0.2190280629705681,0.8565989515973027,-0.15478543771323963,0.0,267.64482895564265,False,0.30455494863650523
O:AAPL260821P00270000,put,270.0,2026-08-21,2026-06-03,2.47,3.15,2.45,3.04,109,2.7858,32,310.260009765625,0.216290212183436,0.8702378376251647,-0.13898872811342713,0.0,267.67414142490185,False,0.3016321684049244
O:AAPL260821P00270000,put,270.0,2026-08-21,2026-06-04,3.0,3.0,2.68,2.68,371,2.9043,254,311.2300109863281,0.2135523613963039,0.8675255935130906,-0.1421102649875663,0.0,267.7034571044635,False,0.29538216265203476
O:AAPL260821P00270000,put,270.0,2026-08-21,2026-06-05,2.55,3.55,2.45,3.45,359,2.9628,95,307.3399963378906,0.2108145106091718,0.8785058997110193,-0.1295326557133128,0.0,267.7327759946791,False,0.3054030293353731
O:AAPL260821P00270000,put,270.0,2026-08-21,2026-06-08,2.86,4.0,2.6,3.9,227,3.0763,63,301.5400085449219,0.2026009582477755,0.895403569506024,-0.11048074669000378,0.0,267.82075193276705,False,0.29695839263447266
O:AAPL260821P00270000,put,270.0,2026-08-21,2026-06-09,4.31,6.9,4.0,5.82,794,5.9034,227,290.54998779296875,0.1998631074606434,0.9292721092536695,-0.07335367750920853,0.0,267.8500836691157,False,0.2898531382066422
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-11,7.86,8.45,7.6,7.95,685,8.074,644,292.67999267578125,0.2792607802874743,0.9395927527736192,-0.06230873932459327,0.0,271.9452247593159,False,0.2735096797615826
O:AAPL260821P00275000,put,275.0,2026-08-21,2026-05-12,7.85,7.85,7.39,7.4,318,7.5449,269,294.79998779296875,0.27652292950034224,0.9328358595222405,-0.06952602124076933,0.0,271.9750082080455,False,0.2752179369016816
